"property_number","borough_code","sign_name","category","site_amenities","sector_name","sector_desc","functional_acreage","total_acreage","avghours_2021q1","avghours_2021q2","avghours_2021q3","avghours_2021q4","avgcosts_2021q1","avgcosts_2021q2","avgcosts_2021q3","avgcosts_2021q4","avgdays_2021q1","avgdays_2021q2","avgdays_2021q3","avgdays_2021q4","fixedpost_2021q1","fixedpost_2021q2","fixedpost_2021q3","fixedpost_2021q4","q1work_order_cost","q2work_order_cost","q3work_order_cost","q4work_order_cost"
"M415","M","Park",NA,NA,"Manhattan Sector 4.5","Districts 4, 5",0,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q156","Q","Park","Small Park",NA,"Queens Sector 5.6","Districts 5, 6",0,0.01,0,0,2,3,5,10,31,49,1,1,2.8,3.2,"No","No","No","No",NA,NA,NA,NA
"Q162H01","Q","Park","Small Park",NA,"Queens Sector 14","District 14",0,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,0,0,0
"Q220A","Q","Park","Other",NA,"Queens Sector 10.12","Districts 10, 12",0,0.14,NA,NA,1,NA,NA,NA,13,NA,NA,NA,1,NA,NA,NA,"No",NA,NA,NA,NA,NA
"Q096G","Q","Park","Property",NA,"Queens Sector 10.12","Districts 10, 12",0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q387C","Q","Park","Greenstreet",NA,"Queens Sector 11.13","Districts 11, 13",0,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q360V","Q","Park",NA,NA,"Queens Sector 3.4","Districts 3, 4",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q360W","Q","Park",NA,NA,"Queens Sector 5.6","Districts 5, 6",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q360X","Q","Park","Other",NA,"Queens Sector 3.4","Districts 3, 4",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q360Y1","Q","Park",NA,NA,"Queens Sector 5.6","Districts 5, 6",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
