"property_number","borough_code","sign_name","category","site_amenities","sector_name","sector_desc","functional_acreage","total_acreage","avghours_2021q1","avghours_2021q2","avghours_2021q3","avghours_2021q4","avgcosts_2021q1","avgcosts_2021q2","avgcosts_2021q3","avgcosts_2021q4","avgdays_2021q1","avgdays_2021q2","avgdays_2021q3","avgdays_2021q4","fixedpost_2021q1","fixedpost_2021q2","fixedpost_2021q3","fixedpost_2021q4","q1work_order_cost","q2work_order_cost","q3work_order_cost","q4work_order_cost"
"R065","R","Richmond Parkway","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,Trails","Staten Island Sector 2.2B","Districts 2, 2B",1252.9333,1884.95,41,34,36,102,701,535,569,1696,6.7,6.8,6.5,6.8,"No","No","No","No",39918,24227,17637,15472
"X039","X","Pelham Bay Park","Large Park","Athletic Facilities,Beaches,Comfort Stations,Natural Areas,Playgrounds,Trails","Bronx Sector 15.15A","Districts 15, 15A",1127.1024,2771.75,678,365,360,648,10486,5629,5473,10469,6.8,6.8,6.7,6.5,"Yes","Yes","Yes","Yes",37827,21526,18733,63765
"X092","X","Van Cortlandt Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,Trails","Bronx Sector 13","District 13",799.3017,1146.43,217,226,339,523,3271,3626,5662,8924,6.6,6.6,6.9,6.8,"Yes","Yes","Yes","Yes",32815,19944,81779,65711
"M010","M","Central Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds","Manhattan Sector 13","District 13",702.9679,840.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130972,121402,123966,168177
"Q099","Q","Flushing Meadows Corona Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,Trails","Queens Sector 15","District 15",523.64,897.69,582,486,451,630,9176,7552,7237,10410,6.8,7,7,6.8,"Yes","Yes","Yes","Yes",425619,357702,386109,259913
"Q001","Q","Alley Pond Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,Trails","Queens Sector 7A","District 7A",523.4291,665.49,171,181,213,500,3058,3341,3922,8228,6.6,6.8,6.8,6.8,"Yes","Yes","Yes","Yes",9639,9447,5344,13877
"B073","B","Prospect Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,Trails","Brooklyn Sector 14.19","Districts 14, 19",420.2202,540.51,814,630,523,793,10367,7899,6927,10921,6.8,7,7,6.8,"Yes","Yes","Yes","Yes",219119,274329,287915,250533
"Q015","Q","Forest Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,Trails","Queens Sector 5A.16","Districts 5A, 16",408.5944,506.86,1638,1541,1393,1742,20979,23014,20814,25056,6.2,6.8,6.7,6.6,"Yes","Yes","Yes","Yes",46935,31826,34012,30878
"Q021","Q","Cunningham Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,Trails","Queens Sector 8.9","Districts 8, 9",388.889,358,60,88,82,202,1072,1522,1506,3486,5.9,6.8,6.7,6.7,"No","Yes","Yes","Yes",32260,20086,9331,15693
"Q162","Q","Rockaway Beach and Boardwalk","Large Park","Athletic Facilities,Beaches,Comfort Stations,Natural Areas,Playgrounds","Queens Sector 14","District 14",351.5687,1098.91,529,502,550,870,7743,7429,7131,13017,5.8,6.6,6.9,6.3,"Yes","Yes","Yes","Yes",37610,13551,14133,74849
"R172","R","Brookfield Park","Large Park","Natural Areas","Staten Island Sector 3","District 3",266.7697,258.72,73,72,60,113,1199,1146,912,1833,6.6,6.7,6.8,6.6,"No","Yes","No","Yes",2475,1413,3209,0
"R031","R","Wolfe's Pond Park","Large Park","Athletic Facilities,Beaches,Comfort Station,Natural Areas,Playgrounds","Staten Island Sector 3","District 3",259.9786,302.69,364,263,201,328,5892,4423,3471,5845,6.7,6.8,7,6.7,"Yes","Yes","Yes","Yes",8287,3771,2714,3442
"Q371","Q","Rockaway Community Park","Large Park","Athletic Facilities,Natural Areas,Playground","Queens Sector 14","District 14",255.4,255.4,8,6,7,9,126,97,104,148,3.8,4.5,4.8,4.5,"No","No","No","No",222,1802,175,1592
"R119","R","Blue Heron Park","Large Park","Natural Areas,Playground,Trails","Staten Island Sector 3","District 3",237.8868,217.45,3,4,3,4,47,71,48,70,5.7,5.9,5.5,6.2,"No","No","No","No",352,1025,1672,1415
"M071","M","Riverside Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds","Manhattan Sector 14","District 14",225.5647,291.19,844,797,1213,1052,10604,9464,12775,10957,5.6,5.8,5.7,5.7,"Yes","Yes","Yes","Yes",19413,21797,13828,30686
"M104","M","Randall's Island Park","Large Park","Athletic Facilities,Comfort Stations","Manhattan Sector 11R","District 11R",201.2074,254.3,167,153,153,310,1056,1056,1504,2528,6.6,7,6.9,6.5,"Yes","Yes","Yes","Yes",63950,199156,115371,27020
"R046","R","Franklin D. Roosevelt Boardwalk and Beach","Large Park","Athletic Facilities,Beaches,Comfort Stations,Playground","Staten Island Sector 2.2B","Districts 2, 2B",197.6119,644.35,576,274,296,678,9582,4622,4929,11320,6.7,7,6.9,6.8,"Yes","Yes","Yes","Yes",34161,14849,22812,22989
"R005","R","Clove Lakes Park","Large Park","Athletic Facilities,Comfort Station,Natural Areas,Playgrounds","Staten Island Sector 1","District 1",192.535,193.42,44,60,54,46,677,922,793,739,5.4,6.5,6,4.7,"No","No","No","No",55331,49298,39373,20188
"R120","R","Arden Woods","Large Park","Natural Areas","Staten Island Sector 3","District 3",191.4664,145.94,0,0,0,1,3,3,2,9,1.2,1,1.2,1.3,"No","No","No","No",0,698,0,0
"X002","X","Bronx Park","Large Park","Athletic Facilities,Comfort Station,Natural Areas,Playgrounds,Trails","Bronx Sector 3.6","Districts 3, 6",188.6459,718.37,194,290,285,343,3075,4641,4521,5726,6.8,6.8,7,6.8,"Yes","Yes","Yes","Yes",98507,73810,136917,118102
"B057","B","Marine Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,Trails","Brooklyn Sector 17.18","Districts 17, 18",187.4703,798,143,199,135,331,2231,3475,2168,5209,5.5,6.6,5.8,6.7,"Yes","Yes","Yes","Yes",22844,14774,11768,14498
"M042","M","Inwood Hill Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,Trails","Manhattan Sector 12.12A","Districts 12, 12A",179.0339,196.4,121,70,124,166,1764,1035,1669,2246,6.7,6.7,6.2,6.6,"Yes","Yes","Yes","Yes",10484,10854,6098,6663
"B169","B","Coney Island Beach & Boardwalk","Large Park","Athletic Facilities,Beaches,Comfort Stations","Brooklyn Sector 13","District 13",162.0099,399.47,38,49,55,75,631,782,835,1174,5.3,5.2,5.6,6.2,"Yes","Yes","No","Yes",87193,62623,28356,117890
"B018","B","Canarsie Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playground,Trails","Brooklyn Sector 17.18","Districts 17, 18",152.0916,132.2,381,346,105,170,4768,4354,1479,2396,6.8,7,6.5,6.8,"Yes","Yes","Yes","Yes",2685,2648,8027,5593
"Q024","Q","Kissena Park","Large Park","Athletic Facilities,Comfort Station,Natural Areas,Playgrounds,Trails","Queens Sector 7","District 7",144.7351,237.15,51,32,43,130,781,508,733,2106,5.7,4.5,5.9,6.5,"Yes","Yes","Yes","Yes",6421,8594,7461,8416
"R106","R","Bloomingdale Park","Large Park","Athletic Facilities,Comfort Station,Natural Areas,Playground","Staten Island Sector 3","District 3",144.4801,138.1,59,51,45,61,1054,907,791,1082,6.6,6.8,6.5,6.7,"Yes","Yes","Yes","Yes",4191,3864,3714,3842
"Q020","Q","Highland Park","Large Park","Athletic Facilities,Comfort Station,Natural Areas,Playgrounds","Queens Sector 5A.16","Districts 5A, 16",139.5772,146.75,351,222,366,265,4724,3126,5101,3916,6.5,6.8,6.6,5.8,"Yes","Yes","Yes","Yes",3392,6011,9919,7853
"R006","R","Conference House Park","Large Park","Comfort Station,Natural Areas,Trails","Staten Island Sector 3","District 3",132.2061,286.38,49,46,43,46,871,804,753,799,6.6,6.5,6.5,6.5,"Yes","Yes","Yes","Yes",4833,4602,7244,9065
"X010","X","Crotona Park","Large Park","Athletic Facilities,Comfort Stations,Playgrounds","Bronx Sector 3.6","Districts 3, 6",130.0107,127.5,229,349,313,443,3389,5065,4400,7094,6.4,6.8,6.7,6.5,"Yes","Yes","Yes","Yes",78741,10224,17205,144115
"X118","X","Soundview Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas","Bronx Sector 9.10","Districts 9, 10",116.4793,205.31,70,94,91,144,996,1506,1339,2200,5.4,6.1,6,5.7,"Yes","Yes","Yes","Yes",5565,3033,5394,3076
"R022","R","Silver Lake Park","Large Park","Athletic Facilities,Comfort Station,Playgrounds","Staten Island Sector 1","District 1",110.4836,205.98,14,22,23,24,219,346,340,374,5.1,6.5,5.8,4.8,"No","No","No","No",16925,17966,14624,7352
"R079","R","Lemon Creek Park","Large Park","Natural Areas,Playground","Staten Island Sector 3","District 3",104.55,104.55,8,8,11,9,131,125,179,149,6.5,6.5,6.2,6.6,"No","No","No","No",1917,2649,281,3900
"M107","M","Wards Island Park","Large Park","Athletic Facilities,Comfort Stations,Playground","Manhattan Sector 11R","District 11R",99.0659,170.7,164,147,158,313,1590,1597,2069,3479,6.4,7,6.8,6.5,"Yes","Yes","Yes","Yes",762,1833,1092,643
"Q005","Q","Baisley Pond Park","Large Park","Athletic Facilities,Comfort Stations,Playgrounds","Queens Sector 10.12","Districts 10, 12",88.2692,109.61,164,171,140,259,2246,2573,2076,4054,6.5,6.2,6.3,6.3,"Yes","Yes","Yes","Yes",24796,13793,7169,11295
"M028","M","Fort Washington Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playground,Trails","Manhattan Sector 12.12A","Districts 12, 12A",87.3499,184.14,111,87,144,180,1485,1320,1629,2521,6.6,6.9,6.6,6.6,"Yes","Yes","Yes","Yes",6166,6771,2040,3217
"B166D","B","McGuire Fields","Large Park","Athletic Facilities,Comfort Station,Natural Areas,Playground","Brooklyn Sector 17.18","Districts 17, 18",77.18,77.18,5,8,7,9,82,120,103,136,3.2,4.7,3.7,3.8,"No","No","No","No",1362,525,640,856
"B384","B","Fresh Creek Nature Preserve","Large Park","Natural Areas","Brooklyn Sector 17.18","Districts 17, 18",77.04,77.04,12,8,12,14,166,118,168,218,1.8,1.5,2.2,3.1,"No","No","No","No",15,0,0,1015
"B125","B","Calvert Vaux Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playground","Brooklyn Sector 13","District 13",76.5124,85.53,97,156,169,175,1650,2754,2999,3004,5.7,6.8,6.8,6.7,"Yes","Yes","Yes","Yes",4632,4064,4779,7510
"Q300","Q","Kissena Corridor Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,Trails","Queens Sector 7","District 7",74.8623,100.87,97,75,74,126,1431,1133,1189,1811,5.7,5.5,5.9,6.2,"Yes","Yes","Yes","Yes",6607,12894,7743,3835
"M037","M","Highbridge Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds","Manhattan Sector 12.12A","Districts 12, 12A",74.6917,130.1,250,264,313,483,3020,2918,3195,5192,6.8,6.9,6.6,6.7,"Yes","Yes","Yes","Yes",12260,12573,6104,90052
"X126","X","Ferry Point Park","Large Park","Athletic Facilities,Comfort Stations,Playground,Trails","Bronx Sector 9.10","Districts 9, 10",71.0494,413.8,174,131,130,162,2620,1688,1690,2645,6.1,6.5,7,6.5,"Yes","Yes","Yes","Yes",3211,2093,1085,9013
"R016","R","Great Kills Park","Large Park","Beach,Natural Areas,Playground","Staten Island Sector 3","District 3",70.4791,315.22,251,12,8,119,4476,181,123,2109,6.7,6.5,6.2,6.7,"Yes","No","No","No",5361,1769,3204,3136
"M029","M","Fort Tryon Park","Large Park","Athletic Facilities,Natural Areas,Playgrounds","Manhattan Sector 12.12A","Districts 12, 12A",66.3285,67.21,101,118,102,129,1562,1742,1413,1902,6,6.4,6.5,6.4,"Yes","Yes","Yes","Yes",3043,12799,14994,6114
"Q008","Q","Brookville Park","Large Park","Athletic Facilities,Comfort Station,Natural Areas,Playground","Queens Sector 11.13","Districts 11, 13",62.6748,89.95,396,249,209,359,4887,3052,2570,4433,6.7,5.2,5.2,6.7,"Yes","Yes","Yes","Yes",1944,2508,2425,1724
"B082","B","Shore Park and Parkway","Large Park","Athletic Facilities,Comfort Stations,Playgrounds","Brooklyn Sector 10.12","Districts 10, 12",62.2474,58,60,71,41,65,1022,1232,759,1128,5.8,6.2,4.8,6,"Yes","Yes","No","Yes",9865,36591,17669,11459
"X003","X","Pelham Parkway","Large Park",NA,"Bronx Sector 11.12.14","Districts 11, 12, 14",61.9506,108.91,15,30,17,27,265,590,361,505,4.9,5.6,4.8,5.3,"No","No","No","No",756,121,270,371
"Q012","Q","Crocheron Park","Large Park","Athletic Facilities,Comfort Stations,Playground","Queens Sector 11.13","Districts 11, 13",59.7537,62.79,60,55,57,149,953,1005,1003,2414,6.4,6.6,6.7,6.5,"Yes","Yes","Yes","Yes",16648,4017,3185,4500
"X033","X","Mosholu Parkway","Large Park","Athletic Facilities,Playgrounds","Bronx Sector 7.8","Districts 7, 8",55.7537,80.94,73,123,110,116,1185,1992,1681,1929,6.2,6.9,6.8,6.1,"Yes","Yes","Yes","Yes",5288,3026,3302,2054
"Q102","Q","Juniper Valley Park","Large Park","Athletic Facilities,Comfort Stations,Playgrounds","Queens Sector 5.6","Districts 5, 6",55.0425,55.64,40,63,46,97,669,1164,761,1372,5.7,6.4,5.8,6.5,"Yes","Yes","No","Yes",4187,5400,5090,5451
"Q300A","Q","Kissena Corridor Park","Large Park","Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds","Queens Sector 8.9","Districts 8, 9",52.1441,48.64,16,17,19,36,276,328,334,639,5.9,6.6,6.5,6.5,"No","No","No","No",3248,1681,1695,1439
"Q004","Q","Astoria Park","Large Park","Athletic Facilities,Playground","Queens Sector 1.2","Districts 1, 2",52.0457,59.96,99,60,65,120,1488,960,1139,2097,5.9,6.8,6.3,6.5,"Yes","Yes","Yes","Yes",37144,10936,11182,53402
"X142","X","Riverdale Park","Large Park","Natural Areas,Trails","Bronx Sector 7.8","Districts 7, 8",49.3271,144.29,3,1,2,5,44,20,26,79,1.3,1.2,1.2,1.6,"No","No","No","No",116,1911,625,235
"Q448","Q","Roy Wilkins Recreation Center","Large Park","Athletic Facilities,Comfort Stations,Playgrounds","Queens Sector 10.12","Districts 10, 12",48.7461,60.35,5,4,9,29,109,87,173,392,5.3,5.2,5.3,5.9,"No","No","No","No",8451,3432,26638,5190
"B028","B","Dyker Beach Park","Large Park","Athletic Facilities,Comfort Stations,Playgrounds","Brooklyn Sector 10.12","Districts 10, 12",48.6832,216.66,142,111,110,121,2246,1861,1813,1891,6.8,6.9,6.9,6.8,"Yes","No","Yes","Yes",5512,7425,6742,8934
"X088","X","Pugsley Creek Park","Large Park","Athletic Facilities,Natural Areas,Trails","Bronx Sector 9.10","Districts 9, 10",48.3703,83.62,17,22,25,29,252,342,394,481,5,6.1,6.1,5.5,"No","No","No","No",428,437,588,134
"M144","M","John V. Lindsay East River Park","Large Park","Athletic Facilities,Comfort Stations,Playground","Manhattan Sector 3","District 3",47.2351,45.88,84,50,58,150,1280,956,969,2202,6.2,5.9,4.8,6.4,"Yes","Yes","Yes","Yes",4599,9274,5143,2780
"B126","B","Red Hook Recreation Area","Large Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 6.7","Districts 6, 7",44.8694,58.5,209,207,268,317,2977,2945,4145,5022,6.8,6.8,7,6.7,"Yes","Yes","Yes","Yes",12574,6942,10915,49001
"Q452","Q","Udall's Park Preserve","Large Park","Natural Areas","Queens Sector 7A","District 7A",44.3,44.3,7,4,3,5,59,94,72,64,2.8,2.6,2.9,2.8,"No","No","No","No",NA,NA,NA,NA
"R153","R","Fairview Park","Large Park","Athletic Facilities,Natural Areas","Staten Island Sector 3","District 3",42.6,42.6,0,0,0,1,2,3,2,18,1,1.2,1,1.4,"No","No","No","No",NA,NA,NA,NA
"B371","B","Spring Creek Park","Other","Athletic Facility,Natural Areas","Brooklyn Sector 5.16","Districts 5, 16",42.58,42.58,4,0,14,8,66,6,169,104,1,1,3.3,2.2,"No","No","Yes","Yes",346,5819,0,232
"Q007","Q","Bayswater Park","Large Park","Athletic Facilities,Comfort Station,Natural Areas,Playground,Trails","Queens Sector 14","District 14",40.07,40.07,107,80,121,173,1492,977,1480,2465,5.1,5.3,5.7,4.9,"Yes","Yes","Yes","Yes",802,267,149,3709
"X008","X","Claremont Park","Large Park","Athletic Facilities,Comfort Stations,Playground","Bronx Sector 4.5","Districts 4, 5",38.0939,38.54,46,74,51,81,716,1116,835,1308,4.9,5.8,5.4,5.5,"No","No","No","No",11308,7985,7062,46385
"B068","B","Parade Ground","Large Park","Athletic Facilities,Comfort Stations,Playground","Brooklyn Sector 14.19","Districts 14, 19",38.0451,39.5,157,104,105,135,1150,864,711,1246,6.8,7,6.8,6.8,"Yes","Yes","Yes","Yes",6351,7193,9481,7123
"X045","X","St. Mary's Park","Large Park","Athletic Facilities,Comfort Station,Playgrounds","Bronx Sector 1.2","Districts 1, 2",37.3774,35.31,90,121,82,131,1464,1935,1262,2205,6.5,6.7,6.2,6.4,"Yes","Yes","Yes","Yes",6454,2029,3872,5168
"X046","X","Seton Falls Park","Large Park","Natural Areas,Playground,Trails","Bronx Sector 11.12.14","Districts 11, 12, 14",36.6531,35.77,9,9,13,71,162,139,205,978,3.9,3,3.7,6,"No","No","No","Yes",178,165,1290,272
"B058","B","McCarren Park","Large Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 1","District 1",36.5501,36.49,256,349,271,184,3813,5358,4166,2868,5.4,6.6,6.4,5.4,"Yes","Yes","Yes","Yes",7162,6242,3256,16656
"B529","B","Bushwick Inlet Park","Small Park","Athletic Facilities,Comfort Station","Brooklyn Sector 1","District 1",35.53,35.53,87,98,95,53,1300,1581,1525,867,6.8,6.9,6.8,5.9,"Yes","Yes","Yes","Yes",7347,3170,5075,2227
"Q010A","Q","Little Bay Park","Large Park","Athletic Facilities","Queens Sector 11.13","Districts 11, 13",34.9871,55.22,26,22,22,56,473,404,424,947,6.6,6.7,6.5,6.7,"Yes","Yes","Yes","Yes",5230,5435,3099,2654
"B065","B","Ocean Parkway Malls","Large Park",NA,"Brooklyn Sector 10.12","Districts 10, 12",34.5122,140,118,80,73,117,1767,1268,1186,1933,6.5,6.8,6.2,6.8,"Yes","Yes","Yes","Yes",14712,5522,4395,1673
"M056","M","Morningside Park","Large Park","Athletic Facilities,Comfort Stations,Playgrounds","Manhattan Sector 7.9","Districts 7, 9",33.821,29.89,76,84,61,112,1186,1295,933,1602,6.6,7,6.4,6.5,"Yes","Yes","Yes","Yes",9486,14742,8821,11550
"B251","B","Manhattan Beach Park","Large Park","Athletic Facilities,Beaches,Comfort Stations,Playgrounds","Brooklyn Sector 11.15","Districts 11, 15",32.5719,42.94,82,59,25,60,1287,974,449,957,6.4,6.4,6.4,6.8,"No","No","No","No",7411,4771,4642,8854
"B032","B","Fort Greene Park","Large Park","Athletic Facilities,Comfort Stations,Playgrounds","Brooklyn Sector 2","District 2",32.0018,30.17,248,179,200,271,3969,2614,2911,4199,6.6,6.7,6.8,6.7,"Yes","Yes","Yes","Yes",7906,5714,11930,4388
"B129","B","Kaiser Park","Large Park","Athletic Facilities,Comfort Station","Brooklyn Sector 13","District 13",31.9489,26.26,77,39,85,186,1266,692,1258,2807,6,5.3,5.7,6.8,"Yes","Yes","Yes","Yes",5028,10893,4056,2813
"M353","M","Riverside Park South","Large Park","Athletic Facilities,Playground","Manhattan Sector 14","District 14",27.4036,71.93,181,270,297,225,2713,3030,3300,2226,4.4,3.7,5.5,3.2,"Yes","Yes","Yes","Yes",1488,3420,1923,2056
"Q476","Q","College Point Fields","Large Park","Athletic Facilities,Comfort Station","Queens Sector 7","District 7",26.83,26.83,25,26,2,23,339,344,39,386,4.4,4.3,3.6,4.1,"Yes","Yes","No","Yes",1984,2880,1325,1813
"M077","M","St. Nicholas Park","Large Park","Athletic Facilities,Comfort Stations,Playgrounds","Manhattan Sector 7.9","Districts 7, 9",25.8516,22.74,139,115,92,150,2172,1875,1558,2185,6.6,6.7,5.9,6.3,"Yes","Yes","Yes","Yes",7571,10998,1896,10746
"X030","X","Macombs Dam Park","Large Park","Athletic Facilities,Comfort Stations,Playgrounds","Bronx Sector 4.5","Districts 4, 5",25.4838,44.17,45,63,67,119,698,932,1014,1999,4.9,5.9,6.2,6.5,"Yes","Yes","Yes","Yes",11464,22035,6418,6239
"B087","B","Sunset Park","Large Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 6.7","Districts 6, 7",24.5,24.5,226,186,170,256,3130,2466,2322,3949,6.8,6.9,6.9,6.6,"Yes","Yes","Yes","Yes",40671,26224,9135,60459
"B066","B","Owl's Head Park","Large Park","Athletic Facilities,Comfort Station,Playgrounds","Brooklyn Sector 10.12","Districts 10, 12",24.22,24.22,41,39,42,60,518,503,589,887,4.7,4.5,4.2,5.8,"Yes","Yes","Yes","Yes",3287,1972,8710,4264
"Q458","Q","Fort Totten Park","Large Park","Comfort Station,Natural Areas,Playground","Queens Sector 7A","District 7A",23.6303,60.39,35,28,23,67,623,503,436,1120,6.3,5.8,5.7,6.5,"Yes","Yes","Yes","Yes",3217,3297,2566,13522
"Q107","Q","Springfield Park","Large Park","Athletic Facilities,Comfort Station,Natural Areas,Playground","Queens Sector 11.13","Districts 11, 13",23.54,23.54,138,58,86,127,1695,723,1069,1595,6.7,4.3,5.6,6.7,"Yes","Yes","Yes","Yes",357,1568,488,2839
"R017","R","Freshkills Park","Large Park","Athletic Facilities,Natural Areas","Staten Island Sector 2.2B","Districts 2, 2B",23.4362,920.43,9,9,8,10,155,146,130,157,6.2,5.6,5,6,"No","No","No","No",4325,3936,4992,16114
"R140","R","King Fisher Park","Large Park","Natural Areas,Trails","Staten Island Sector 3","District 3",23.01,23.01,4,6,4,6,62,83,57,91,2.9,3.2,2.4,3,"No","No","No","No",139,0,0,0
"R121","R","Siedenburg Park","Large Park","Natural Areas","Staten Island Sector 3","District 3",22.88,22.88,3,3,3,4,41,43,40,67,2.9,2.2,1.7,2.4,"No","No","No","No",NA,NA,NA,NA
"B054","B","Lincoln Terrace / Arthur S. Somers Park","Large Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 8.9","Districts 8, 9",22.3428,17.14,39,25,45,149,647,447,733,2302,5.4,5.8,6.2,6.6,"No","No","Yes","Yes",1576,3581,9717,3799
"M283","M","Battery Park City","Large Park","Playgrounds","Manhattan Sector 1.2","Districts 1, 2",22.1279,26.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,68,0,0
"BT15","B","Bush Terminal Park","Large Park","Athletic Facilities,Comfort Station","Brooklyn Sector 6.7","Districts 6, 7",22.12,22.12,110,102,97,77,1302,1269,1149,1125,6.6,6.5,6.5,6.3,"Yes","Yes","Yes","Yes",1094,3896,2502,4402
"Q009","Q","Hermon A. MacNeil Park","Large Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 7","District 7",22.0327,28.87,26,20,33,28,389,345,422,391,4.4,4.3,5,5.1,"Yes","Yes","Yes","Yes",8247,1640,1166,1085
"R169","R","Goodhue Park","Large Park","Athletic Facilities,Natural Areas,Trails","Staten Island Sector 1","District 1",21.5019,26.53,4,5,5,7,71,90,82,106,3.6,4.7,4.3,4.2,"No","No","No","No",328,0,1676,0
"B080","B","Asser Levy Park","Large Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 13","District 13",21.04,21.04,36,38,61,91,593,675,983,1385,4.3,5.4,6.3,6.7,"Yes","Yes","Yes","Yes",9274,2399,386,3528
"R145","R","Seaside Wildlife Nature Park","Small Park","Natural Areas","Staten Island Sector 3","District 3",20.91,20.91,8,11,9,13,120,159,142,208,6.1,6.4,6.5,6.6,"No","No","No","No",1829,1636,0,1009
"M005","M","The Battery","Large Park","Comfort Stations","Manhattan Sector 1.2","Districts 1, 2",20.8209,21.88,212,131,103,208,648,298,70,0,6.7,6.8,6.1,5.8,"Yes","Yes","Yes","Yes",1309,11152,11639,3041
"M058","M","Marcus Garvey Park","Large Park","Athletic Facilities,Playgrounds","Manhattan Sector 10.11","Districts 10, 11",20.3936,20.17,86,126,68,120,1318,1847,965,1695,4.9,5.5,4.9,6.3,"Yes","Yes","Yes","Yes",50261,3226,10848,47044
"Q104","Q","Queensbridge Park","Large Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 1.2","Districts 1, 2",20.34,20.34,63,82,67,126,1000,1338,1172,2091,5.3,6.2,6.2,6.1,"Yes","Yes","Yes","Yes",6891,9700,5063,9923
"X104","X","Williamsbridge Oval","Large Park","Athletic Facilities,Comfort Station,Playgrounds","Bronx Sector 7.8","Districts 7, 8",19.75,19.75,47,70,45,106,783,1121,790,1636,5.5,5.3,5.5,5.3,"Yes","Yes","Yes","Yes",8688,4467,4378,3973
"B166C","B","Coney Island Boat Basin","Large Park","Athletic Facilities,Natural Areas","Brooklyn Sector 13","District 13",18.8868,36.81,17,7,6,10,271,109,87,158,2.8,1.6,2.7,4.3,"Yes","No","No","No",0,560,372,60
"Q467","Q","Broad Channel American Park","Large Park","Athletic Facilities,Natural Areas","Queens Sector 14","District 14",18.77,18.77,4,3,4,5,68,45,55,77,4.5,4.5,4.5,4.7,"No","No","No","No",203,116,0,1121
"B029","B","Eastern Parkway","Large Park",NA,"Brooklyn Sector 8.9","Districts 8, 9",17.9046,63.64,89,111,99,135,1388,1697,1469,2020,6.6,7,6.7,6.6,"Yes","Yes","Yes","Yes",73,123,305,9
"M053","M","Theodore Roosevelt Park","Large Park",NA,"Manhattan Sector 7.9","Districts 7, 9",17.58,17.58,55,52,52,56,918,842,879,958,6.6,6.9,6.9,6.7,"Yes","Yes","Yes","Yes",769,151,187,173
"B007","B","Bensonhurst Park","Large Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 11.15","Districts 11, 15",17.5,17.5,20,22,97,110,299,371,1295,1610,4.6,4.9,6.7,6.8,"No","No","Yes","Yes",934,1495,5449,2985
"Q461","Q","Powell's Cove Park","Large Park","Natural Areas","Queens Sector 7","District 7",16.9828,55.02,3,5,3,3,50,89,57,50,2.6,2.8,3,2.2,"No","No","No","No",2455,449,677,909
"X047","X","Franz Sigel Park","Large Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 4.5","Districts 4, 5",16.9717,15.99,43,62,48,82,648,934,726,1288,3.8,5.4,4.4,5.5,"Yes","Yes","Yes","Yes",7361,2523,2743,4594
"R048","R","Jones Woods Park","Large Park","Natural Areas","Staten Island Sector 1","District 1",16.93,16.93,3,3,4,4,42,49,66,66,3.5,3.9,4,3.4,"No","No","No","No",583,89,0,0
"Q126","Q","Francis Lewis Park","Large Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 7","District 7",16.83,16.83,4,4,3,5,72,68,56,92,3.1,3.2,3.9,4.3,"No","No","No","No",996,338,1349,2980
"B052","B","Leif Ericson Park","Large Park","Athletic Facilities,Comfort Stations,Playgrounds","Brooklyn Sector 10.12","Districts 10, 12",16.8,16.8,67,63,76,54,880,830,987,758,5.8,5.5,6.2,6.1,"Yes","Yes","Yes","Yes",1694,2743,2308,1140
"R124","R","Eibs Pond Park","Large Park","Natural Areas","Staten Island Sector 1","District 1",16.51,16.51,2,4,4,8,35,69,68,124,2.4,4.1,3.4,4.3,"No","No","No","No",NA,NA,NA,NA
