"NAME","GEO_ID","S0101_C01_001E","S1901_C01_001E","S1901_C01_002E","S1901_C01_003E","S1901_C01_004E","S1901_C01_005E","S1901_C01_006E","S1901_C01_007E","S1901_C01_008E","S1901_C01_009E","S1901_C01_010E","S1901_C01_011E","S1901_C01_012E","S1901_C01_013E","ZCTA5","DP02_0087E","DP02_0093E","DP05_0070E","DP05_0077E","DP05_0077PE"
"ZCTA5 49276","8600000US49276",851,339,2.7,0.9,10.6,19.8,17.1,12.4,12.4,19.8,4.4,0,48906,65822,"49276",851,12,851,755,88.7
"ZCTA5 49277","8600000US49277",3290,1389,6.7,3.4,6.8,7.5,14,28.6,10.9,14.4,5.6,2.2,58766,68770,"49277",3290,10,3290,3074,93.4
"ZCTA5 49285","8600000US49285",5740,2132,4.2,4.1,4.1,6.1,17.8,21,12.5,23.9,3.6,2.7,63827,76668,"49285",5740,108,5740,5350,93.2
"ZCTA5 49305","8600000US49305",2134,964,6.6,8.2,15.7,12.8,20.7,16.7,11.1,5.5,1.7,1,38726,56127,"49305",2134,17,2134,2010,94.2
"ZCTA5 49325","8600000US49325",2050,695,1.7,0.9,7.9,7.3,14.8,24,17.4,18.6,2.3,5,70699,79092,"49325",2050,16,2050,1959,95.6
"ZCTA5 49911","8600000US49911",2746,1226,10.8,8.4,14.7,9.4,14.6,19.7,11.2,6.8,2.7,1.8,40978,56270,"49911",2746,24,2746,2655,96.7
"ZCTA5 49913","8600000US49913",6516,2737,11,9.2,10.1,12.9,16.3,17.6,13.4,7.6,0.7,1.2,40286,52974,"49913",6516,121,6516,6076,93.2
"ZCTA5 49915","8600000US49915",319,172,13.4,11,14.5,7.6,26.2,10.5,14.5,1.2,0,1.2,42857,42569,"49915",319,9,319,278,87.1
"ZCTA5 49952","8600000US49952",111,39,2.6,7.7,7.7,7.7,15.4,43.6,10.3,0,5.1,0,54375,53413,"49952",111,0,111,109,98.2
"ZCTA5 49961","8600000US49961",109,46,2.2,13,19.6,13,23.9,23.9,2.2,0,2.2,0,35500,39874,"49961",109,0,109,109,100
"ZCTA5 49962","8600000US49962",237,112,0,15.2,12.5,17,13.4,17,10.7,10.7,3.6,0,44643,53723,"49962",237,0,237,216,91.1
"ZCTA5 49267","8600000US49267",3988,1587,3.8,0.6,6.2,7.1,14.7,20.4,18.3,15.1,10.2,3.5,71903,87026,"49267",3988,67,3988,3748,94
"ZCTA5 49268","8600000US49268",1153,483,1.2,6.2,8.9,14.3,18.6,22.4,9.7,16.8,0.4,1.4,50337,66329,"49268",1153,19,1153,978,84.8
"ZCTA5 49270","8600000US49270",5716,2123,1.9,3.8,6.1,6.4,9.6,19.9,21.2,16.2,10.8,4.1,79261,89548,"49270",5716,115,5716,5351,93.6
"ZCTA5 49284","8600000US49284",2995,1169,5.6,4.1,9.2,12,15.2,20.4,11.2,17,3.4,1.7,53674,70118,"49284",2995,23,2995,2779,92.8
"ZCTA5 49304","8600000US49304",3922,1547,15.6,7.5,16.1,15.4,15.8,16.2,6,3.7,2.5,1,30885,43310,"49304",3922,78,3922,2841,72.4
"ZCTA5 49306","8600000US49306",10650,3921,4.1,3.7,8.3,5.7,7.5,13.1,18.8,19.6,8.8,10.4,86901,104455,"49306",10650,224,10650,9911,93.1
"ZCTA5 49307","8600000US49307",20590,7084,12,9.4,13.2,11.5,12.1,16.4,8.2,11.1,3.3,2.7,40000,58145,"49307",20590,622,20590,17946,87.2
"ZCTA5 49309","8600000US49309",1509,734,9.8,7.2,17.2,14.4,16.3,15.3,11.4,5.7,0.8,1.8,36087,54373,"49309",1509,21,1509,1324,87.7
"ZCTA5 49310","8600000US49310",3284,1056,4.4,4.8,12.6,11.4,14.5,24,13.7,7.7,5.3,1.7,51276,61142,"49310",3284,29,3284,3167,96.4
"ZCTA5 49312","8600000US49312",293,138,7.2,18.1,16.7,13,6.5,13.8,16.7,6.5,1.4,0,33056,44191,"49312",293,2,293,269,91.8
"ZCTA5 49321","8600000US49321",17160,6822,3.6,2.8,8.6,12.6,17.1,18.4,13.8,14.6,5.9,2.7,57867,72462,"49321",17160,1143,17160,13988,81.5
"ZCTA5 49329","8600000US49329",8664,3055,3.4,4.5,10.1,10.4,12,22,16.4,12.4,6.7,2.1,61601,71562,"49329",8664,134,8664,8282,95.6
"ZCTA5 49406","8600000US49406",710,403,2.7,0.7,6,6.7,5.5,14.9,17.6,32.8,9.2,4,92708,99427,"49406",710,24,710,691,97.3
"ZCTA5 49426","8600000US49426",37601,12513,1.6,1.5,5.4,4.6,11.1,19.3,16.6,23.6,9.5,6.6,85410,101805,"49426",37601,1182,37601,34638,92.1
"ZCTA5 49525","8600000US49525",30019,11591,3.1,2.7,8.3,6.6,13.1,19.3,12.9,18.5,7.2,8.4,70666,103642,"49525",30019,1457,30019,26053,86.8
"ZCTA5 49442","8600000US49442",41580,15246,8.9,7.3,14.1,13.8,15.7,20.7,10.4,7.1,1,0.8,39362,50082,"49442",41580,947,41580,26895,64.7
"ZCTA5 49446","8600000US49446",2463,967,2.3,4.6,15.9,8.5,12.7,15.9,16,16.6,3.5,3.9,61250,76698,"49446",2463,252,2463,2172,88.2
"ZCTA5 54180","8600000US54180",3490,1313,1.8,2.8,3.5,4.3,10.7,26,17.5,21.8,7.2,4.5,78068,88516,"54180",3490,75,3490,3213,92.1
"ZCTA5 54201","8600000US54201",5136,2188,5,3.6,10.1,8.4,16.9,21.2,15.8,14.3,3.3,1.5,55972,65651,"54201",5136,54,5136,4954,96.5
"ZCTA5 54205","8600000US54205",2100,782,1.3,4.9,9,6.5,9.3,18.7,20.5,20.7,6.9,2.3,75268,82109,"54205",2100,37,2100,2005,95.5
"ZCTA5 54207","8600000US54207",146,60,0,3.3,0,3.3,20,40,10,10,13.3,0,70278,78107,"54207",146,1,146,139,95.2
"ZCTA5 54212","8600000US54212",1035,488,0.6,0.8,2.9,4.7,17.6,18.9,13.7,18.4,13.3,9,83333,110810,"54212",1035,63,1035,953,92.1
"ZCTA5 54217","8600000US54217",7281,2860,2.6,2.4,6.7,7.9,12.6,19.1,16.2,22,6.2,4.4,73393,85043,"54217",7281,223,7281,6698,92
"ZCTA5 67547","8600000US67547",1817,814,3.7,5.3,12.8,11.2,14.3,25.1,15.5,10,1,1.4,51369,59272,"67547",1817,159,1817,1377,75.8
"ZCTA5 67214","8600000US67214",14949,6037,19.6,9.8,17.9,15.6,15.4,11.3,5.5,3.5,0.8,0.5,26300,35238,"67214",14949,2113,14949,3150,21.1
"ZCTA5 67341","8600000US67341",344,137,0,0,0,5.1,0,31.4,11.7,42.3,0,9.5,105625,103530,"67341",344,17,344,316,91.9
"ZCTA5 67356","8600000US67356",2767,1095,3.4,3.5,8.9,13.9,20.7,22.1,13.4,5.4,5.8,2.8,49688,68398,"67356",2767,23,2767,2527,91.3
"ZCTA5 67550","8600000US67550",5642,2141,3.5,3.5,7.6,22,15.1,21.4,13.8,6.8,5.4,0.7,47010,60952,"67550",5642,71,5642,4610,81.7
"ZCTA5 67422","8600000US67422",1383,585,1.4,8.5,10.6,8.4,6.2,24.8,19.7,11.1,4.8,4.6,66827,82989,"67422",1383,21,1383,1344,97.2
"ZCTA5 67554","8600000US67554",4006,1691,1.8,3.8,15.4,5.4,20,18.6,16.6,15.4,1.7,1.2,55528,71041,"67554",4006,324,4006,3128,78.1
"ZCTA5 67573","8600000US67573",202,88,3.4,0,2.3,28.4,11.4,31.8,13.6,6.8,2.3,0,60000,59513,"67573",202,6,202,187,92.6
"ZCTA5 67628","8600000US67628",112,45,2.2,4.4,8.9,15.6,2.2,33.3,11.1,11.1,0,11.1,51705,73176,"67628",112,0,112,112,100
"ZCTA5 67629","8600000US67629",146,63,1.6,1.6,15.9,0,14.3,12.7,52.4,1.6,0,0,82695,64460,"67629",146,0,146,141,96.6
"ZCTA5 67632","8600000US67632",201,115,8.7,7,20.9,19.1,19.1,9.6,6.1,7.8,0,1.7,33375,44446,"67632",201,5,201,196,97.5
"ZCTA5 67634","8600000US67634",229,81,0,8.6,18.5,6.2,29.6,16,11.1,8.6,0,1.2,42083,53077,"67634",229,0,229,229,100
"ZCTA5 67638","8600000US67638",254,139,27.3,7.2,10.8,7.2,8.6,5,15.8,12.2,5.8,0,32321,51885,"67638",254,0,254,214,84.3
"ZCTA5 67642","8600000US67642",1861,863,6,3.5,14.8,14.4,17,17.8,11,10.3,3.8,1.3,45990,58395,"67642",1861,35,1861,1664,89.4
"ZCTA5 67646","8600000US67646",725,332,1.8,3,14.2,15.4,26.5,15.7,13,7.5,2.4,0.6,46563,55764,"67646",725,6,725,689,95
"ZCTA5 67653","8600000US67653",386,196,5.1,4.6,11.2,14.8,13.8,29.6,12.2,8.7,0,0,50192,53078,"67653",386,2,386,358,92.7
"ZCTA5 67656","8600000US67656",63,41,0,0,22,19.5,0,0,0,43.9,14.6,0,NA,85400,"67656",63,0,63,63,100
"ZCTA5 67625","8600000US67625",270,121,12.4,4.1,9.1,14,29.8,24,3.3,3.3,0,0,40625,40744,"67625",270,8,270,227,84.1
"ZCTA5 67637","8600000US67637",2738,1109,4.5,3.4,11.4,9,14.2,17.9,15.7,13.8,6.3,3.7,60341,83182,"67637",2738,4,2738,2686,98.1
"ZCTA5 67647","8600000US67647",272,105,1,1.9,10.5,9.5,30.5,15.2,9.5,17.1,4.8,0,47386,64442,"67647",272,0,272,270,99.3
"ZCTA5 67648","8600000US67648",535,258,7.8,1.9,11.6,24.4,19.8,16.3,8.1,3.9,0,6.2,37115,71681,"67648",535,9,535,531,99.3
"ZCTA5 67667","8600000US67667",167,64,3.1,0,7.8,6.3,6.3,29.7,9.4,28.1,1.6,7.8,72500,89423,"67667",167,0,167,159,95.2
"ZCTA5 67675","8600000US67675",171,88,3.4,2.3,13.6,6.8,29.5,21.6,14.8,6.8,0,1.1,44038,59013,"67675",171,0,171,171,100
"ZCTA5 67730","8600000US67730",1707,790,4.4,7.2,14.8,13.4,7,21.9,12.2,13.3,4.7,1.1,53580,62236,"67730",1707,54,1707,1528,89.5
"ZCTA5 67736","8600000US67736",211,101,5,0,4,18.8,13.9,16.8,20.8,14.9,0,5.9,69583,78981,"67736",211,2,211,211,100
"ZCTA5 67738","8600000US67738",573,259,3.1,0.4,14.3,12.7,21.6,13.9,8.1,15.8,6.6,3.5,48281,76832,"67738",573,12,573,508,88.7
"ZCTA5 67744","8600000US67744",147,71,12.7,4.2,0,0,22.5,12.7,12.7,14.1,21.1,0,NA,78508,"67744",147,0,147,131,89.1
"ZCTA5 67751","8600000US67751",239,130,11.5,0,17.7,19.2,6.9,15.4,13.1,13.1,0,3.1,38750,54948,"67751",239,7,239,218,91.2
"ZCTA5 67762","8600000US67762",213,79,0,0,13.9,7.6,13.9,26.6,20.3,12.7,5.1,0,64306,69048,"67762",213,2,213,204,95.8
"ZCTA5 67853","8600000US67853",707,240,0,2.1,7.9,6.3,16.3,22.9,14.6,18.3,10,1.7,65357,83284,"67853",707,58,707,582,82.3
"ZCTA5 67862","8600000US67862",311,100,6,6,6,13,29,21,17,2,0,0,39833,47508,"67862",311,21,311,197,63.3
"ZCTA5 67863","8600000US67863",215,128,10.2,0,4.7,16.4,19.5,35.2,14.1,0,0,0,NA,52954,"67863",215,14,215,201,93.5
"ZCTA5 67877","8600000US67877",2285,774,7.1,3.4,6.8,13.2,16.1,19.3,9,14.5,7.9,2.7,52407,71215,"67877",2285,427,2285,1640,71.8
"ZCTA5 67951","8600000US67951",5083,1633,11.9,4.6,10.9,8.1,13.3,11.9,19.2,13.2,4.8,2.1,53854,63873,"67951",5083,1015,5083,3040,59.8
"ZCTA5 67151","8600000US67151",600,186,2.7,0.5,5.4,5.4,28,10.8,20.4,25.8,1.1,0,63750,70242,"67151",600,9,600,551,91.8
"ZCTA5 67204","8600000US67204",22291,7998,4.5,2.9,12.3,7.7,14.7,29.6,12.7,9.6,3.5,2.5,54242,65999,"67204",22291,3342,22291,11098,49.8
"ZCTA5 67211","8600000US67211",19206,8188,16.6,8,16.6,12.9,16.7,14.7,7.9,5.1,0.7,0.8,31899,40640,"67211",19206,2249,19206,10189,53.1
"ZCTA5 67217","8600000US67217",31414,11540,6,4.7,10.2,11.2,16.2,24.8,13.1,9.8,3.1,0.8,51485,59612,"67217",31414,1897,31414,21634,68.9
"ZCTA5 67218","8600000US67218",22635,9539,10,5.5,11.4,15.1,17.6,17.9,10.4,7.8,2.1,2.2,41798,55893,"67218",22635,3413,22635,12091,53.4
"ZCTA5 67235","8600000US67235",13555,4498,1.6,0.6,4.1,2.2,7.8,14.7,15,28.2,15.3,10.5,106006,119787,"67235",13555,382,13555,11898,87.8
"ZCTA5 67335","8600000US67335",3578,1414,7.6,4.7,10.3,13.5,16.2,23.6,12.8,9.6,1.7,0,48261,53296,"67335",3578,7,3578,3307,92.4
"ZCTA5 67336","8600000US67336",1563,649,7.7,11.2,15.7,15.9,16.6,10.5,14.8,5.1,0,2.5,34620,47185,"67336",1563,0,1563,1417,90.7
"ZCTA5 67418","8600000US67418",154,69,27.5,5.8,4.3,1.4,14.5,27.5,2.9,15.9,0,0,39844,47964,"67418",154,2,154,120,77.9
"ZCTA5 67431","8600000US67431",1933,827,7.3,4.6,14.1,10,9.2,21.8,9.7,11.1,8.5,3.7,55590,68304,"67431",1933,33,1933,1703,88.1
"ZCTA5 67879","8600000US67879",1185,519,2.3,4.6,12.1,10,16.2,29.3,10.2,10.4,2.9,1.9,54112,65953,"67879",1185,128,1185,883,74.5
"ZCTA5 67836","8600000US67836",201,55,0,9.1,25.5,30.9,16.4,7.3,1.8,3.6,0,5.5,31146,47260,"67836",201,27,201,163,81.1
"ZCTA5 67851","8600000US67851",2858,871,0.9,2.9,6,5.7,9.6,23.4,24.3,19.5,4.9,2.6,77083,82755,"67851",2858,264,2858,1782,62.4
"ZCTA5 67855","8600000US67855",1763,645,11.8,1.9,14.6,7,12.4,21.1,13.2,10.5,7.4,0.2,52644,60673,"67855",1763,214,1763,1008,57.2
"ZCTA5 67864","8600000US67864",1760,745,4,2.1,13.2,9.4,10.1,22.4,15,18.7,3.4,1.7,58950,71292,"67864",1760,72,1760,1584,90
"ZCTA5 67485","8600000US67485",343,142,19,6.3,4.2,6.3,16.2,31,7,9.9,0,0,44464,46896,"67485",343,18,343,314,91.5
"ZCTA5 67492","8600000US67492",175,82,1.2,2.4,24.4,6.1,23.2,24.4,13.4,4.9,0,0,48333,49594,"67492",175,6,175,167,95.4
"ZCTA5 67501","8600000US67501",26122,9777,8.3,8.5,15.6,13.3,20.2,15,8.7,8.4,0.8,1.2,38399,48211,"67501",26122,1147,26122,19746,75.6
"ZCTA5 67513","8600000US67513",74,39,2.6,35.9,2.6,10.3,15.4,12.8,17.9,2.6,0,0,NA,38887,"67513",74,0,74,74,100
"ZCTA5 71202","8600000US71202",28909,8657,27,9.8,16.7,14.7,14.8,9.9,3.3,2.7,1,0.2,23285,31182,"71202",28909,87,28909,3569,12.3
"ZCTA5 71225","8600000US71225",7435,2535,11.7,2.6,5.6,8.2,6.4,16.4,11,19.2,12.3,6.7,68147,99536,"71225",7435,50,7435,7014,94.3
"ZCTA5 71226","8600000US71226",1797,784,12.1,8,14,13.3,12.6,19.8,8.9,3.2,3.2,4.8,39444,56420,"71226",1797,21,1797,1250,69.6
"ZCTA5 71232","8600000US71232",6731,2672,15.4,9.4,16.4,12.5,12.5,10.1,14.4,6.3,2,1.1,30185,46137,"71232",6731,100,6731,3585,53.3
"ZCTA5 71245","8600000US71245",4707,1650,26.2,5.9,21,8.7,12.3,14.7,6.3,2.7,2.2,0,22434,34857,"71245",4707,167,4707,246,5.2
"ZCTA5 71250","8600000US71250",184,104,52.9,8.7,4.8,11.5,13.5,0,4.8,3.8,0,0,NA,20379,"71250",184,0,184,121,65.8
"ZCTA5 50212","8600000US50212",2813,1254,4,5.3,9,9.6,9.6,19.3,15.3,22.1,2.2,3.7,63824,82445,"50212",2813,29,2813,2716,96.6
"ZCTA5 50539","8600000US50539",542,217,9.2,2.3,10.1,12.4,15.7,12.4,19.4,8.8,8.3,1.4,50417,74715,"50539",542,0,542,531,98
"ZCTA5 50117","8600000US50117",133,64,23.4,20.3,7.8,7.8,6.3,10.9,10.9,12.5,0,0,NA,38106,"50117",133,0,133,133,100
"ZCTA5 50141","8600000US50141",493,206,0.5,2.9,3.9,12.6,21.4,20.4,16,17.5,4.9,0,61250,69122,"50141",493,0,493,481,97.6
"ZCTA5 50680","8600000US50680",1090,482,1.9,4.1,10.4,7.9,11.6,22.8,16.4,17.4,2.3,5.2,61818,88717,"50680",1090,0,1090,1054,96.7
"ZCTA5 50167","8600000US50167",701,248,1.2,10.1,3.2,3.6,13.7,29,19,16.5,3.6,0,68750,70086,"50167",701,0,701,622,88.7
"ZCTA5 50144","8600000US50144",2622,1080,10.2,6.4,10.6,8.4,14,26.8,10.1,11.1,1.6,0.9,50357,54964,"50144",2622,5,2622,2538,96.8
"ZCTA5 50157","8600000US50157",905,414,1,8,10.1,14.3,20.8,17.1,17.1,6.5,2.4,2.7,44457,60279,"50157",905,4,905,844,93.3
"ZCTA5 50161","8600000US50161",1831,741,3,3.1,4.5,6.3,8.2,21.1,16.2,22.5,6.5,8.6,81979,103279,"50161",1831,4,1831,1768,96.6
"ZCTA5 50220","8600000US50220",8898,3605,5,4.3,12.3,11,18.3,21.4,14.2,8.2,2.5,2.9,49252,66348,"50220",8898,1505,8898,5711,64.2
"ZCTA5 50227","8600000US50227",28,10,10,0,20,10,0,10,50,0,0,0,68750,55790,"50227",28,0,28,28,100
"ZCTA5 50228","8600000US50228",3009,1041,4.4,1.6,5.1,5,12.5,19.5,16.3,23.4,8.6,3.5,78274,89306,"50228",3009,25,3009,2932,97.4
"ZCTA5 50239","8600000US50239",50,31,12.9,3.2,6.5,32.3,3.2,12.9,29,0,0,0,34063,47177,"50239",50,0,50,48,96
"ZCTA5 50242","8600000US50242",595,225,4.9,4.4,5.8,12.9,8.9,9.8,22.7,22.7,6.2,1.8,79792,78074,"50242",595,0,595,594,99.8
"ZCTA5 50244","8600000US50244",2026,761,3.8,2.1,4.6,5.9,10.5,22.3,15.4,24.8,6,4.5,75474,86294,"50244",2026,25,2026,1898,93.7
"ZCTA5 50257","8600000US50257",1008,389,0.5,2.1,6.9,9.3,19.3,24.9,11.6,16.7,4.6,4.1,57083,75954,"50257",1008,4,1008,969,96.1
"ZCTA5 50250","8600000US50250",2293,930,5.3,7,10.1,12.9,12.7,14.3,15.4,13.2,8,1.2,56944,67266,"50250",2293,55,2293,2172,94.7
"ZCTA5 50316","8600000US50316",16520,5698,7.6,6.4,14.6,9.9,17.5,20.1,12.4,8.6,2.2,0.6,45275,54264,"50316",16520,3086,16520,7180,43.5
"ZCTA5 50460","8600000US50460",306,152,4.6,0.7,0,9.9,10.5,21.1,24.3,13.8,3.9,11.2,78125,86508,"50460",306,4,306,259,84.6
"ZCTA5 50544","8600000US50544",429,158,8.9,2.5,6.3,5.1,15.8,27.8,12,14.6,2.5,4.4,60833,69624,"50544",429,7,429,418,97.4
"ZCTA5 50323","8600000US50323",14593,4879,1.5,0,2.4,3.4,2.1,9.4,9.4,26.3,22.6,22.8,145777,160914,"50323",14593,427,14593,13225,90.6
"ZCTA5 50433","8600000US50433",282,119,1.7,0,10.9,1.7,37,21.8,26.9,0,0,0,47386,54085,"50433",282,1,282,282,100
"ZCTA5 50464","8600000US50464",628,224,2.2,0,7.1,4.9,16.5,31.3,14.7,13.4,4.9,4.9,65000,95864,"50464",628,2,628,582,92.7
"ZCTA5 50523","8600000US50523",574,236,3.4,11.9,14,10.6,12.3,9.7,29.2,5.9,2.5,0.4,47500,59522,"50523",574,0,574,540,94.1
"ZCTA5 50574","8600000US50574",1996,994,3.4,9.9,9.9,9.3,15,22.6,16.9,9.4,2.9,0.8,53071,58717,"50574",1996,50,1996,1942,97.3
"ZCTA5 50521","8600000US50521",299,104,31.7,0,37.5,6.7,0,0,12.5,11.5,0,0,21218,36043,"50521",299,0,299,299,100
"ZCTA5 50557","8600000US50557",661,330,2.7,1.8,14.5,11.2,16.1,20.9,15.8,10.6,5.8,0.6,52308,63777,"50557",661,9,661,633,95.8
"ZCTA5 50621","8600000US50621",1546,662,3.9,5,10.1,7.4,14.4,16.9,13.9,16.2,9.4,2.9,65441,80332,"50621",1546,3,1546,1501,97.1
"ZCTA5 50658","8600000US50658",2305,1014,3,9.2,5.9,12.3,13.2,17.2,16.9,14.7,3.5,4.2,61111,78052,"50658",2305,25,2305,2265,98.3
"ZCTA5 50841","8600000US50841",2538,1107,5,5.1,10.5,13.7,15.4,19.6,11.7,11.2,4.2,3.5,50347,67987,"50841",2538,22,2538,2474,97.5
"ZCTA5 50848","8600000US50848",291,143,5.6,0.7,19.6,25.9,24.5,11.2,4.9,2.8,4.9,0,34702,45957,"50848",291,0,291,291,100
"ZCTA5 50033","8600000US50033",23,5,0,0,0,0,0,0,0,80,20,0,121875,135560,"50033",23,0,23,23,100
"ZCTA5 50108","8600000US50108",445,190,9.5,8.4,7.9,11.6,15.3,8.9,15.8,18.4,2.1,2.1,47500,61676,"50108",445,1,445,445,100
"ZCTA5 50151","8600000US50151",556,254,3.5,7.1,2.8,12.2,8.3,17.7,11,24.4,5.1,7.9,70833,82887,"50151",556,2,556,536,96.4
"ZCTA5 50011","8600000US50011",1322,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50011",1322,0,1322,1238,93.6
"ZCTA5 50012","8600000US50012",4725,8,0,100,0,0,0,0,0,0,0,0,NA,NA,"50012",4725,24,4725,4380,92.7
"ZCTA5 50023","8600000US50023",38469,13911,2.3,2,3.4,8.3,9.1,19.5,13.8,22.4,12.2,6.9,87198,104859,"50023",38469,1306,38469,35139,91.3
"ZCTA5 50127","8600000US50127",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50127",0,0,0,0,NA
"ZCTA5 50163","8600000US50163",701,374,5.6,14.4,13.6,13.1,16,16.3,14.4,5.1,0.5,0.8,37000,46251,"50163",701,0,701,686,97.9
"ZCTA5 50255","8600000US50255",48,29,6.9,0,10.3,27.6,31,10.3,6.9,6.9,0,0,45417,46934,"50255",48,0,48,41,85.4
"ZCTA5 50319","8600000US50319",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50319",0,0,0,0,NA
"ZCTA5 50324","8600000US50324",4953,2143,1.4,3,6.1,7.3,13.5,25.3,16.3,21.4,3.6,2.1,64230,82470,"50324",4953,361,4953,4343,87.7
"ZCTA5 50327","8600000US50327",11400,4188,2.6,0.7,2.8,8.2,8.1,21.7,14.9,21,13.3,6.5,82351,97127,"50327",11400,600,11400,9608,84.3
"ZCTA5 50467","8600000US50467",89,36,8.3,19.4,0,16.7,16.7,0,11.1,27.8,0,0,NA,57719,"50467",89,1,89,87,97.8
"ZCTA5 50620","8600000US50620",40,19,5.3,10.5,10.5,5.3,5.3,42.1,10.5,10.5,0,0,61042,52653,"50620",40,0,40,39,97.5
"ZCTA5 50664","8600000US50664",42,17,0,0,0,0,0,100,0,0,0,0,NA,NA,"50664",42,0,42,42,100
"ZCTA5 50839","8600000US50839",46,24,4.2,16.7,0,20.8,16.7,16.7,8.3,16.7,0,0,36667,47808,"50839",46,0,46,45,97.8
"ZCTA5 50842","8600000US50842",84,37,0,10.8,10.8,2.7,27,24.3,8.1,13.5,2.7,0,48750,58392,"50842",84,2,84,82,97.6
"ZCTA5 50046","8600000US50046",1765,628,1.3,2.1,8.6,1.8,13.5,26.8,14,16.6,12.1,3.3,73941,87666,"50046",1765,7,1765,1712,97
"ZCTA5 50070","8600000US50070",1371,576,2.3,0.9,6.3,8.9,13,19.6,15.3,20.7,7.5,5.7,73611,93654,"50070",1371,17,1371,1289,94
"ZCTA5 50174","8600000US50174",1375,544,3.9,6.3,11,9.9,16.7,23.9,11.6,9.2,3.7,3.9,52619,66259,"50174",1375,20,1375,1292,94
"ZCTA5 50028","8600000US50028",1555,665,4.5,4.1,5.9,5.4,11.9,25.3,16.2,17.3,7.2,2.3,66118,76899,"50028",1555,26,1555,1528,98.3
"ZCTA5 50130","8600000US50130",1447,561,4.8,4.6,4.5,5,12.8,23,19.3,22.1,2.3,1.6,65781,79087,"50130",1447,35,1447,1394,96.3
"ZCTA5 52209","8600000US52209",1100,446,4.3,2.2,4,8.3,9.4,26,27.6,11.4,2.9,3.8,68281,76896,"52209",1100,57,1100,962,87.5
"ZCTA5 52220","8600000US52220",268,147,0,0,8.2,15.6,15.6,36.7,11.6,12.2,0,0,58060,62493,"52220",268,44,268,251,93.7
"ZCTA5 52221","8600000US52221",245,109,3.7,0,11.9,6.4,22,17.4,18.3,18.3,1.8,0,65982,64966,"52221",245,0,245,245,100
"ZCTA5 52235","8600000US52235",740,338,5,4.4,14.2,5.3,15.7,16.3,15.1,20.7,2.7,0.6,54219,64931,"52235",740,15,740,678,91.6
"ZCTA5 52531","8600000US52531",5880,2450,8.2,8.1,5.7,9.3,14.7,16.2,16.3,16.9,2.1,2.5,56000,70398,"52531",5880,43,5880,5605,95.3
"ZCTA5 52540","8600000US52540",1349,604,6.1,7.9,6.3,19.2,14.2,24.3,13.4,7.8,0.2,0.5,45870,52447,"52540",1349,10,1349,1315,97.5
"ZCTA5 49441","8600000US49441",35365,15121,6.3,3.8,10.2,11,16.8,19.8,11.7,12.6,4.2,3.6,52612,70457,"49441",35365,887,35365,28553,80.7
"ZCTA5 49424","8600000US49424",48799,17897,3.8,1.4,8.7,6.8,11.6,23.1,15.1,17.2,6.4,6,68276,86758,"49424",48799,6274,48799,31686,64.9
"ZCTA5 49434","8600000US49434",6,6,0,0,0,0,0,0,0,100,0,0,NA,NA,"49434",6,0,6,6,100
"ZCTA5 49437","8600000US49437",6852,2739,4.1,2.7,9.5,10.2,13.3,26.4,15,14.4,2.2,2.2,60158,69310,"49437",6852,95,6852,6162,89.9
"ZCTA5 49452","8600000US49452",2102,743,3.8,4.8,13.2,10.2,16.3,21.7,15.5,12.4,2,0.1,51420,58222,"49452",2102,70,2102,1777,84.5
"ZCTA5 49099","8600000US49099",5787,2407,3.3,6.1,12.7,12,15.6,21.6,12.3,12.5,2.4,1.5,50237,61391,"49099",5787,170,5787,5287,91.4
"ZCTA5 49102","8600000US49102",1627,567,10.6,1.6,10.4,12.3,9.2,12,18.3,19.9,5.6,0,61696,67482,"49102",1627,151,1627,1385,85.1
"ZCTA5 49130","8600000US49130",1474,601,3.2,0.8,2.5,16.8,13,20.5,12,11.3,13,7,69213,106998,"49130",1474,20,1474,1415,96
"ZCTA5 49237","8600000US49237",3047,1124,3,4.4,10.6,8.6,15.2,24.5,14,13.3,4.4,2,58587,68225,"49237",3047,27,3047,2796,91.8
"ZCTA5 49271","8600000US49271",1872,735,4.1,3.7,17.1,8.7,17.6,19.9,8,15,3,3,49241,78141,"49271",1872,3,1872,1744,93.2
"ZCTA5 49858","8600000US49858",11647,5678,6.9,7.8,12.3,11.9,15,22.8,11.7,8.3,1.4,1.8,46793,60826,"49858",11647,133,11647,10986,94.3
"ZCTA5 49868","8600000US49868",5293,1727,6.7,5.4,7.4,16,17,18.9,15,10.1,2.3,1.1,45352,58228,"49868",5293,115,5293,3919,74
"ZCTA5 49873","8600000US49873",93,50,0,0,14,6,24,28,28,0,0,0,51250,55214,"49873",93,0,93,93,100
"ZCTA5 49880","8600000US49880",1013,475,6.9,3.8,7.8,7.4,16.2,30.1,13.1,8.6,2.9,3.2,59306,70586,"49880",1013,5,1013,940,92.8
"ZCTA5 49896","8600000US49896",1685,602,6.3,5.5,6.6,14.3,14.1,24.6,9.1,14.1,3,2.3,52895,68094,"49896",1685,20,1685,1090,64.7
