"NAME","GEO_ID","S0101_C01_001E","S1901_C01_001E","S1901_C01_002E","S1901_C01_003E","S1901_C01_004E","S1901_C01_005E","S1901_C01_006E","S1901_C01_007E","S1901_C01_008E","S1901_C01_009E","S1901_C01_010E","S1901_C01_011E","S1901_C01_012E","S1901_C01_013E","ZCTA5","DP02_0087E","DP02_0093E","DP05_0070E","DP05_0077E","DP05_0077PE"
"ZCTA5 26731","8600000US26731",423,174,8,0,15.5,16.7,4.6,39.7,7.5,8,0,0,52833,48883,"26731",423,0,423,423,100
"ZCTA5 26753","8600000US26753",6049,2426,4.7,5.4,12,12.2,12.2,25.9,9.6,10.4,1.5,6.1,51927,66679,"26753",6049,51,6049,5967,98.6
"ZCTA5 26757","8600000US26757",6655,2759,10.5,5,12.1,17.1,13,23.6,7.5,6.1,2.6,2.3,41759,54806,"26757",6655,77,6655,6246,93.9
"ZCTA5 26804","8600000US26804",672,265,4.9,6,23.4,18.1,12.8,17,7.9,2.6,2.3,4.9,34458,67750,"26804",672,0,672,646,96.1
"ZCTA5 26823","8600000US26823",141,127,42.5,17.3,12.6,0,0,0,0,0,27.6,0,NA,51226,"26823",141,0,141,141,100
"ZCTA5 26855","8600000US26855",564,289,5.2,5.9,2.4,32.2,17.6,20.1,3.8,7.3,0,5.5,38281,57376,"26855",564,0,564,564,100
"ZCTA5 26003","8600000US26003",41198,16956,8.8,5.5,10.7,9.3,15.2,16.2,11.4,12.6,5.1,5.1,50467,75648,"26003",41198,718,41198,37996,92.2
"ZCTA5 26031","8600000US26031",1562,678,6.9,7.8,20.5,12.4,19.8,13.7,8.6,6,4.3,0,35851,48698,"26031",1562,5,1562,1474,94.4
"ZCTA5 26150","8600000US26150",6362,2459,7.9,2.7,6.2,9.8,15.5,19.1,11.8,16.4,7.9,2.7,55665,73683,"26150",6362,92,6362,6031,94.8
"ZCTA5 26152","8600000US26152",118,36,0,0,0,0,0,100,0,0,0,0,NA,NA,"26152",118,0,118,118,100
"ZCTA5 26159","8600000US26159",3325,1223,8.5,5.7,8.8,8.7,18.7,21.9,14.7,10.5,1.9,0.5,49313,56721,"26159",3325,6,3325,3258,98
"ZCTA5 26180","8600000US26180",2341,957,0,2.2,13.4,13.1,26.3,18.7,15.3,4.3,3.3,3.4,44309,61578,"26180",2341,0,2341,2318,99
"ZCTA5 26184","8600000US26184",2744,929,7,0,19.1,7.2,12.1,14.7,17.2,15.7,7,0,64946,66595,"26184",2744,29,2744,2697,98.3
"ZCTA5 26217","8600000US26217",220,136,27.9,11,21.3,0,19.9,0,0,19.9,0,0,NA,38618,"26217",220,0,220,220,100
"ZCTA5 26224","8600000US26224",268,121,0,8.3,11.6,0,12.4,51.2,5.8,10.7,0,0,70324,62918,"26224",268,0,268,268,100
"ZCTA5 26259","8600000US26259",31,13,100,0,0,0,0,0,0,0,0,0,NA,NA,"26259",31,0,31,31,100
"ZCTA5 26269","8600000US26269",821,388,3.4,8.5,8,16.2,11.9,27.3,15.2,9.5,0,0,50909,55863,"26269",821,0,821,818,99.6
"ZCTA5 26278","8600000US26278",622,262,11.1,0,12.6,9.5,10.7,40.1,12.2,3.8,0,0,53476,49796,"26278",622,0,622,611,98.2
"ZCTA5 26294","8600000US26294",883,440,15.9,1.8,17.7,13,12,24.1,8.2,7.3,0,0,39688,43810,"26294",883,0,883,871,98.6
"ZCTA5 26327","8600000US26327",68,17,0,0,0,0,0,47.1,52.9,0,0,0,NA,NA,"26327",68,0,68,68,100
"ZCTA5 28119","8600000US28119",2391,1094,6.1,0.5,32,10.2,20.2,17.8,11,2.2,0,0,37500,40228,"28119",2391,126,2391,686,28.7
"ZCTA5 26143","8600000US26143",4291,1872,7,10.6,11.9,9,14.2,24.5,7.4,9,5.6,0.9,45000,55219,"26143",4291,11,4291,4248,99
"ZCTA5 26034","8600000US26034",4203,2118,4.5,8.1,13.1,14.5,22,18.9,8.4,10.2,0.2,0,45397,49090,"26034",4203,0,4203,4115,97.9
"ZCTA5 26037","8600000US26037",6487,2833,8.6,5,8.3,12.8,12.3,22.4,14.5,12,2.9,1.2,54639,60047,"26037",6487,36,6487,6238,96.2
"ZCTA5 26062","8600000US26062",20764,8848,5.5,5.2,12.6,10.7,16,20.9,13.1,10.5,3,2.5,50036,63446,"26062",20764,353,20764,19141,92.2
"ZCTA5 26149","8600000US26149",1977,765,7.8,7.7,7.5,21.6,18,18.7,9.2,5.5,2.6,1.4,37813,57503,"26149",1977,8,1977,1955,98.9
"ZCTA5 26201","8600000US26201",19919,7774,9.5,4.9,12,14.2,12.7,20.1,11.6,9.8,3.8,1.4,43183,61848,"26201",19919,137,19919,18958,95.2
"ZCTA5 26266","8600000US26266",78,43,48.8,0,0,0,0,51.2,0,0,0,0,NA,NA,"26266",78,0,78,78,100
"ZCTA5 26267","8600000US26267",308,91,3.3,0,24.2,0,16.5,23.1,0,18.7,8.8,5.5,51964,75846,"26267",308,0,308,308,100
"ZCTA5 26292","8600000US26292",636,271,10,7.4,11.8,19.2,3,25.1,9.2,8.9,4.1,1.5,40625,54635,"26292",636,0,636,633,99.5
"ZCTA5 26320","8600000US26320",532,281,11.4,11,15.7,7.1,18.5,23.1,7.5,2.5,3.2,0,42292,45400,"26320",532,5,532,528,99.2
"ZCTA5 26347","8600000US26347",2576,820,8.2,3.7,11.7,11.5,14,14.5,12.1,13.8,8.3,2.3,52955,69176,"26347",2576,11,2576,2483,96.4
"ZCTA5 26385","8600000US26385",4203,1509,4.7,4.6,5.4,6.1,15.6,21.2,18.4,15.8,6,2.2,69033,75028,"26385",4203,13,4203,4127,98.2
"ZCTA5 26411","8600000US26411",922,276,0,0,16.3,0,26.8,15.6,28.6,6.5,2.5,3.6,64565,72611,"26411",922,6,922,922,100
"ZCTA5 26419","8600000US26419",1055,418,5,7.9,18.4,12,17.7,19.9,7.9,6.5,4.8,0,39758,50865,"26419",1055,36,1055,905,85.8
"ZCTA5 26430","8600000US26430",438,137,16.1,0,11.7,8,19,13.9,24.1,7.3,0,0,48194,51154,"26430",438,6,438,388,88.6
"ZCTA5 26440","8600000US26440",1302,524,11.5,10.3,10.5,11.3,12,17.4,16,7.1,1,3.1,39792,52377,"26440",1302,0,1302,1253,96.2
"ZCTA5 26447","8600000US26447",1379,536,3.9,6.7,10.4,24.6,13.8,21.8,3.2,15.5,0,0,41250,50866,"26447",1379,7,1379,1337,97
"ZCTA5 26519","8600000US26519",2085,773,10.3,10,13.2,6.3,16.2,15.5,8.8,16,3.6,0,47340,57373,"26519",2085,0,2085,1938,92.9
"ZCTA5 26554","8600000US26554",41702,17028,7.1,5.3,11.9,11.5,12.3,18.8,13.1,12.1,4.8,3.1,51574,66997,"26554",41702,669,41702,38120,91.4
"ZCTA5 26570","8600000US26570",3554,1297,4.5,5.6,11.2,14.8,15.4,17.6,17,8.6,2.7,2.6,49016,60650,"26570",3554,5,3554,3505,98.6
"ZCTA5 26587","8600000US26587",423,158,29.1,0,4.4,0,5.7,10.8,45.6,4.4,0,0,75000,56056,"26587",423,0,423,423,100
"ZCTA5 26611","8600000US26611",239,102,8.8,0,5.9,38.2,9.8,25.5,0,0,11.8,0,34722,53102,"26611",239,0,239,239,100
"ZCTA5 26623","8600000US26623",1103,470,4.5,17.9,13.6,0,12.1,27.9,0,24,0,0,53365,56793,"26623",1103,0,1103,1103,100
"ZCTA5 26624","8600000US26624",2729,1237,3.8,8.3,17.8,12.1,14.8,15.8,10.9,15.2,0.6,0.7,42318,54871,"26624",2729,0,2729,2669,97.8
"ZCTA5 26443","8600000US26443",349,110,10.9,0,16.4,0,0,20.9,7.3,44.5,0,0,78125,73404,"26443",349,0,349,335,96
"ZCTA5 26562","8600000US26562",379,178,8.4,0,7.9,0,30.9,15.7,11.2,25.8,0,0,55714,65379,"26562",379,0,379,379,100
"ZCTA5 26621","8600000US26621",792,323,5.9,6.8,6.5,4,31.3,9.6,32.5,3.4,0,0,48657,54936,"26621",792,3,792,788,99.5
"ZCTA5 26833","8600000US26833",2131,746,2.7,8.4,12.7,9.4,18.4,23.5,15.3,6.4,1.9,1.3,48929,56204,"26833",2131,0,2131,2089,98
"ZCTA5 26169","8600000US26169",656,244,16,4.1,3.7,4.5,13.5,11.1,16,9.8,0,21.3,66154,86573,"26169",656,17,656,639,97.4
"ZCTA5 26291","8600000US26291",176,55,0,0,0,0,0,0,58.2,41.8,0,0,99375,99987,"26291",176,0,176,176,100
"ZCTA5 26408","8600000US26408",3158,1135,4.8,0.6,4.4,9.5,13.6,14.4,11.8,27.5,9.9,3.4,85550,89079,"26408",3158,0,3158,3049,96.5
"ZCTA5 26705","8600000US26705",606,223,2.7,5.8,14.8,3.6,26,14.3,6.7,22.9,0,3.1,47679,90355,"26705",606,13,606,606,100
"ZCTA5 26707","8600000US26707",256,107,3.7,11.2,15,9.3,30.8,12.1,15,2.8,0,0,43162,44272,"26707",256,1,256,235,91.8
"ZCTA5 26719","8600000US26719",3053,1265,5.4,4.4,11.5,8.7,10.8,24.1,18.3,6.6,6.5,3.8,65924,69532,"26719",3053,23,3053,3018,98.9
"ZCTA5 26801","8600000US26801",770,366,20.5,0,18.6,7.1,10.7,14.2,12.6,7.4,6,3,38397,60741,"26801",770,0,770,770,100
"ZCTA5 26808","8600000US26808",813,379,4,0,11.9,11.6,5.3,18.2,25.1,24,0,0,74485,71504,"26808",813,0,813,813,100
"ZCTA5 26814","8600000US26814",453,167,5.4,5.4,26.9,9,16.8,9.6,13.2,13.8,0,0,39792,49420,"26814",453,0,453,447,98.7
"ZCTA5 26836","8600000US26836",7080,3001,2.6,5.6,14,14,18.9,17.9,10.1,13.5,0.4,2.9,44840,64810,"26836",7080,414,7080,5901,83.3
"ZCTA5 26852","8600000US26852",742,310,0,17.4,7.1,27.7,0,17.4,25.2,5.2,0,0,NA,49469,"26852",742,0,742,707,95.3
"ZCTA5 26374","8600000US26374",1220,509,5.1,6.9,6.9,6.9,13.8,28.7,13.2,12.4,4.7,1.6,57202,64261,"26374",1220,0,1220,1220,100
"ZCTA5 26537","8600000US26537",5247,2188,11.2,7.1,12.2,12.4,9,15.9,15.8,11.1,3.3,2,45878,58626,"26537",5247,64,5247,5016,95.6
"ZCTA5 26710","8600000US26710",2258,812,2.2,5.3,5.8,8.6,21.3,27.8,21.1,5,1.8,1,59561,60893,"26710",2258,9,2258,2254,99.8
"ZCTA5 26716","8600000US26716",728,281,0,3.2,12.8,9.3,20.3,19.6,10.7,24.2,0,0,52232,65409,"26716",728,0,728,728,100
"ZCTA5 26717","8600000US26717",869,319,4.1,9.1,13.2,18.2,18.2,18.8,3.4,10.7,2.8,1.6,40586,64679,"26717",869,0,869,869,100
